sample, JetFlavor, TotalNumberJets, LooseEff, MediumEff 
H2Mu_gg_125_NLO, FLAV_B, 353, 0.741409, 0.590526 
H2Mu_gg_125_NLO, FLAV_C, 582, 0.425002, 0.129577 
H2Mu_gg_125_NLO, FLAV_UDSG, 8792, 0.093961, 0.005912 
H2Mu_gg_120_NLO, FLAV_B, 351, 0.871397, 0.639131 
H2Mu_gg_120_NLO, FLAV_C, 586, 0.393928, 0.146481 
H2Mu_gg_120_NLO, FLAV_UDSG, 7932, 0.083393, 0.006291 
H2Mu_gg_130_NLO, FLAV_B, 310, 0.808656, 0.568739 
H2Mu_gg_130_NLO, FLAV_C, 492, 0.334656, 0.135233 
H2Mu_gg_130_NLO, FLAV_UDSG, 7622, 0.056956, 0.005321 
H2Mu_VBF_125, FLAV_B, 0, 0.000000, 0.000000 
H2Mu_VBF_125, FLAV_C, 0, 0.000000, 0.000000 
H2Mu_VBF_125, FLAV_UDSG, 0, 0.000000, 0.000000 
H2Mu_VBF_120, FLAV_B, 0, 0.000000, 0.000000 
H2Mu_VBF_120, FLAV_C, 0, 0.000000, 0.000000 
H2Mu_VBF_120, FLAV_UDSG, 0, 0.000000, 0.000000 
H2Mu_VBF_130, FLAV_B, 0, 0.000000, 0.000000 
H2Mu_VBF_130, FLAV_C, 0, 0.000000, 0.000000 
H2Mu_VBF_130, FLAV_UDSG, 0, 0.000000, 0.000000 
H2Mu_ZH_125, FLAV_B, 974, 0.800381, 0.671567 
H2Mu_ZH_125, FLAV_C, 973, 0.344598, 0.093814 
H2Mu_ZH_125, FLAV_UDSG, 11423, 0.099835, 0.012875 
H2Mu_ZH_120, FLAV_B, 882, 0.812674, 0.683150 
H2Mu_ZH_120, FLAV_C, 913, 0.355610, 0.086190 
H2Mu_ZH_120, FLAV_UDSG, 10997, 0.095925, 0.011123 
H2Mu_ZH_130, FLAV_B, 1020, 0.767809, 0.622999 
H2Mu_ZH_130, FLAV_C, 962, 0.390673, 0.087526 
H2Mu_ZH_130, FLAV_UDSG, 12072, 0.102822, 0.012266 
H2Mu_WH_pos_125, FLAV_B, 309, 0.739625, 0.592519 
H2Mu_WH_pos_125, FLAV_C, 1862, 0.358547, 0.094014 
H2Mu_WH_pos_125, FLAV_UDSG, 18297, 0.082382, 0.009134 
H2Mu_WH_pos_120, FLAV_B, 266, 0.705491, 0.583263 
H2Mu_WH_pos_120, FLAV_C, 1777, 0.363398, 0.112705 
H2Mu_WH_pos_120, FLAV_UDSG, 17622, 0.082861, 0.008140 
H2Mu_WH_pos_130, FLAV_B, 262, 0.711896, 0.585079 
H2Mu_WH_pos_130, FLAV_C, 1916, 0.360973, 0.103406 
H2Mu_WH_pos_130, FLAV_UDSG, 17757, 0.083196, 0.008410 
H2Mu_WH_neg_125, FLAV_B, 284, 0.700353, 0.576258 
H2Mu_WH_neg_125, FLAV_C, 2548, 0.387906, 0.121073 
H2Mu_WH_neg_125, FLAV_UDSG, 18816, 0.080608, 0.007750 
H2Mu_WH_neg_120, FLAV_B, 0, 0.000000, 0.000000 
H2Mu_WH_neg_120, FLAV_C, 0, 0.000000, 0.000000 
H2Mu_WH_neg_120, FLAV_UDSG, 0, 0.000000, 0.000000 
H2Mu_WH_neg_130, FLAV_B, 255, 0.748565, 0.653174 
H2Mu_WH_neg_130, FLAV_C, 2476, 0.376948, 0.112032 
H2Mu_WH_neg_130, FLAV_UDSG, 18310, 0.080054, 0.009011 
H2Mu_ttH_120, FLAV_B, 0, 0.000000, 0.000000 
H2Mu_ttH_120, FLAV_C, 0, 0.000000, 0.000000 
H2Mu_ttH_120, FLAV_UDSG, 0, 0.000000, 0.000000 
H2Mu_ttH_125, FLAV_B, 109648, 0.844965, 0.699976 
H2Mu_ttH_125, FLAV_C, 24696, 0.414452, 0.111822 
H2Mu_ttH_125, FLAV_UDSG, 125218, 0.090191, 0.010010 
H2Mu_ttH_130, FLAV_B, 0, 0.000000, 0.000000 
H2Mu_ttH_130, FLAV_C, 0, 0.000000, 0.000000 
H2Mu_ttH_130, FLAV_UDSG, 0, 0.000000, 0.000000 
ZJets, FLAV_B, 0, 0.000000, 0.000000 
ZJets, FLAV_C, 0, 0.000000, 0.000000 
ZJets, FLAV_UDSG, 0, 0.000000, 0.000000 
ZJets_hiM, FLAV_B, 0, 0.000000, 0.000000 
ZJets_hiM, FLAV_C, 0, 0.000000, 0.000000 
ZJets_hiM, FLAV_UDSG, 0, 0.000000, 0.000000 
ZJets_AMC, FLAV_B, 7925, 0.765425, 0.630819 
ZJets_AMC, FLAV_C, 8206, 0.350985, 0.095609 
ZJets_AMC, FLAV_UDSG, 84655, 0.077729, 0.009853 
ZJets_hiM_MG, FLAV_B, 4218, 0.770562, 0.637094 
ZJets_hiM_MG, FLAV_C, 6253, 0.359498, 0.109447 
